prod_id	title	description	category	gender	condition	price	link	image_url	brand	isbn	upc	color	size
1	Classic fit non-iron shirt	"With a superior look and feel, the wrinkle-resistant qualities take these shirts from the office to after-hours with polish and style."	Clothing & Accessories > Clothing > Tops > Dress Shirts	male	NEW	79.5	http://google.com	http://google.com/images	Banana Republic			Green	M
2	Canon PowerShot 12.1MP Digital Camera - Silver (SD1300 IS) 	"Features: Face Detection Technology, Motion Detection, Optical Image Stabilization, Contrast Correction, Anti-Glare Coating, Easy-to-Read Menu System, 100% LCD Coverage, LCD Screen, Brightness Adjustment, Customizable Start-Up Screen"	Cameras & Optics > Cameras > Digital Cameras > Digital Point & Shoot Cameras		NEW	199.99	http://google.com	http://google.com/images	Canon			Silver	
3	Spalding Professional NBA Game Basketball	Shoot for victory with the Spalding¨ Professional NBA¨ Game Basketball. This ball is the official game ball of the National Basketball Association and is ready for the game.	Sporting Goods > Team Sports > Basketball		NEW	199.99	http://google.com	http://google.com/images	Spalding				
4	Western Chief Tiny Horses Rain Boots	Western Chief Tiny Horses rain boots are bound to make any dreary rain day brighter! Western Chief quality all-rubber rain boots are designed to keep your feet comfortable and dry. Rubber soles provide the traction you need in wet conditions.	Clothing & Accessories > Footwear > Boots > Rain Boots	female	NEW	39.99	http://google.com	http://google.com/images	Sheplers			Chocolate	
5	Patagonia Negril Trench Coat	"Patagonia designed the Womens Negril Trench Coat out of stretchy canvas to give you light coverage on days in town. The double-breasted cut and princess seaming give the coat its classic look, and its slim fit looks modern and up-to-date. You dont need to wear a bulky fleece into town any more."	Clothing & Accessories > Clothing > Outerwear > Coats > Trench Coats	female	NEW	140	http://google.com	http://google.com/images	Patagonia			Sesame	M
6	Vans Men's Classic Slip On 	"Old school flavor comes right back at ya in the Vans Men's Classic slip-on shoe. Once a premier skate shoe, the Vans Classic is the perfect slip-on deck shoe for everyday street wear. Leather, suede, canvas, fabric or textile upper with elastic side gores makes this shoe easy to slip on and off. Vans waffle outsole is strong and versatile."	Clothing & Accessories > Footwear	male	NEW	42	http://google.com	http://google.com/images	Van's			Black	
7	Levi«s 501 Original	"A tried-and-true classic, Levi's 501 is the one that started it all."	Clothing & Accessories > Clothing > Pants > Jeans	male	NEW	36.99	http://google.com	http://google.com/images	Levi's			Black	M
8	Volcom Oh Me Oh My Dress	Oh Me Oh My! You'll take their breath away when you adorn this knit tank dress.	Clothing & Accessories > Clothing > Dresses	female	NEW	54	http://google.com	http://google.com/images	Volcom			Brown	M
9	Tommy Bahama Tiki Colada	Sip some coladas by the pool in these relaxing swim trunks.		male	NEW	68	http://google.com	http://google.com/images	Tommy Bahama			Green	M
10	Women's Belt	True Religion's leather belt with small flat studs and embroidery in one row along the middle of the belt. The belt is beautifully finished to have the vintage look.	Clothing & Accessories > Clothing Accessories > Belts	female	NEW	143	http://google.com	http://google.com/images	True Religion			Brown	M
